index,name,price,product_url
30,Comet Adults Unisex Black Nrgy Running Shoes,"₹1,549",https://www.amazon.com/Puma-Mens-Lace-Sports-Shoes_Blue_9/dp/B07CSBM1WP/ref=sr_1_30?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-30
31,Men Formal Shoe,₹699,https://www.amazon.com/Centrino-CHICKU-Uniform-Shoe-8-7956-24/dp/B08Z475JZF/ref=sr_1_31?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-31
32,Men's Nw Tap Sneaker,"₹1,099",https://www.amazon.com/BATA-Mens-Black-Sneaker-8346891/dp/B09NHSKDSK/ref=sr_1_32?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-32
33,Men's Missile-01 Running Shoes for Men I Sport Shoes for Boys with Mega Pillow Technology Sole for Extra Jump I Phylon Sole Casual Shoes for Men,₹898,https://www.amazon.com/ASIAN-Missile-01-Running-Technology-Phylon/dp/B09DSG3Z3N/ref=sr_1_33?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-33
34,Men's Rte314 Sneakers,"₹1,119",https://www.amazon.com/Red-Tape-Black-Sneaker-11-RTE3141/dp/B08TH9Y88D/ref=sr_1_34?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-34
35,"Spark Running Shoes/Trainers for Men for Gyming, Cross Training, Heavy Weight Lifting, Cross-fit with Natural Rubber & Eva Sole and Breathable Upper","₹1,259",https://www.amazon.com/Bacca-Trainers-Training-Cross-fit-Breathable/dp/B08YD98BWB/ref=sr_1_35?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-35
36,"Men's Skypee-33 Walking,Sports,Running,Gym Casual Sneaker Shoes for Boy's",₹497,https://www.amazon.com/ASIAN-Skypee-33-Walking-Running-Sneaker/dp/B09V2ZY7VN/ref=sr_1_36?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-36
37,Men's North Plus Running Shoes,"₹1,649",https://www.amazon.com/Campus-North-Running-Shoes-Black/dp/B08PSMQW1H/ref=sr_1_37?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-37
38,Mens 8620 Formal,₹549,https://www.amazon.com/Centrino-Mens-8620-Formal-8-8620-3/dp/B09C8L144F/ref=sr_1_38?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-38
39,Men's Stormex Training Shoe,"₹3,359",https://www.amazon.com/Adidas-Black-Stone-Stormex-Outdoor/dp/B09N3N9S4K/ref=sr_1_39?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-39
